,metascore,name,console,playerscore,date,genre,brand
325,8.9,NHL 2K3,PS2,7.8,2002-11-10,Sports,Sony
326,8.9,Pikmin,GC,8.7,2001-12-02,Strategy,Nintendo
327,8.9,Ace Combat 04: Shattered Skies,PS2,8.9,2001-11-01,Simulation,Sony
328,8.9,Final Fantasy Chronicles,PS,9.4,2001-06-29,Role-Playing,Sony
329,8.9,Dishonored,PS3,7.9,2012-10-09,Shooter,Sony
330,8.9,Sonic Adventure 2,DC,8.5,2001-06-18,Platform,Sega
331,8.9,Grand Theft Auto IV: The Ballad of Gay Tony,X360,8.5,2009-10-29,Action-Adventure,Microsoft
332,8.9,Demon's Souls,PS3,8.9,2009-10-06,Role-Playing,Sony
333,8.9,Silent Hill 2,PS2,9.0,2001-09-24,Action-Adventure,Sony
334,8.9,Dragon Quest VIII: Journey of the Cursed King,PS2,8.9,2005-11-15,Role-Playing,Sony
335,8.9,NBA 2K3,PS2,8.0,2002-10-08,Sports,Sony
336,8.9,NBA Street,PS2,8.4,2001-06-18,Sports,Sony
337,8.9,NBA Street V3,PS2,8.5,2005-02-08,Sports,Sony
338,8.9,Dark Souls II: Scholar of the First Sin,XONE,7.7,2015-04-07,Role-Playing,Microsoft
339,8.9,The Legend of Zelda: Majora's Mask 3D,3DS,8.9,2015-02-13,Action-Adventure,Nintendo
340,8.9,NBA Street V3,XBOX,8.7,2005-02-08,Sports,Microsoft
341,8.9,Left 4 Dead 2,X360,8.6,2009-11-17,Shooter,Microsoft
342,8.9,Madden NFL 2002,GC,7.5,2001-11-17,Sports,Nintendo
343,8.9,Need for Speed: Hot Pursuit 2,PS2,8.4,2002-10-01,Racing,Sony
344,8.9,Okami HD,Switch,8.7,2018-08-09,Action-Adventure,Nintendo
345,8.9,Gran Turismo 4,PS2,8.6,2005-02-22,Racing,Sony
346,8.9,The Legend of Zelda: The Minish Cap,GBA,8.9,2005-01-10,Action-Adventure,Nintendo
347,8.9,Destiny: The Taken King,XONE,5.2,2015-09-15,Shooter,Microsoft
348,8.9,Lumines,PSP,6.7,2005-03-22,Puzzle,Sony
349,8.9,NBA 2K2,PS2,7.8,2002-01-12,Sports,Sony
350,8.9,NHL 2002,XBOX,8.8,2001-12-10,Sports,Microsoft
351,8.9,Jade Empire,XBOX,8.5,2005-04-12,Role-Playing,Microsoft
352,8.9,Owlboy,PS4,6.7,2018-04-10,Platform,Sony
353,8.9,NBA 2K11,PS3,7.6,2010-10-05,Sports,Sony
354,8.9,Call of Duty 2,X360,8.2,2005-11-17,Shooter,Microsoft
355,8.9,NBA 2K11,X360,8.1,2010-10-05,Sports,Microsoft
356,8.9,Metal Gear Solid: Peace Walker,PSP,8.8,2010-06-08,Action-Adventure,Sony
357,8.9,FIFA Soccer 11,PS3,8.0,2010-09-28,Sports,Sony
358,8.9,Cave Story,WII,8.8,2010-03-22,Platform,Nintendo
359,8.9,Need for Speed: Hot Pursuit,PS3,7.4,2010-11-16,Racing,Sony
360,8.9,Castlevania: Dawn of Sorrow,DS,8.4,2005-10-04,Platform,Nintendo
361,8.9,Peggle,X360,8.2,2009-03-11,Puzzle,Microsoft
362,8.9,Halo 2 Multiplayer Map Pack,XBOX,7.5,2005-07-05,Shooter,Microsoft
363,8.9,Assassin's Creed: Brotherhood,X360,8.3,2010-11-16,Action-Adventure,Microsoft
364,8.9,Shin Megami Tensei: Persona 3 Portable,PSP,7.8,2010-07-05,Role-Playing,Sony
365,8.9,Fez,X360,6.2,2012-04-13,Platform,Microsoft
366,8.9,The Orange Box,PS3,8.3,2007-12-11,Shooter,Sony
367,8.9,Titanfall 2,PS4,8.4,2016-10-28,Shooter,Sony
368,8.9,Bastion,PS4,7.8,2015-04-07,Role-Playing,Sony
369,8.9,NBA Street Vol. 2,XBOX,8.7,2003-04-28,Sports,Microsoft
370,8.9,Borderlands 2,X360,8.3,2012-09-18,Shooter,Microsoft
371,8.9,Tony Hawk's Underground,GC,8.5,2003-10-27,Sports,Nintendo
372,8.9,Dark Souls III,PS4,8.9,2016-04-12,Role-Playing,Sony
373,8.9,Stardew Valley,XONE,7.7,2016-12-14,Simulation,Microsoft
374,8.9,Shin Megami Tensei: Persona 3 FES,PS2,7.8,2008-04-22,Role-Playing,Sony
375,8.9,Dragon Age: Inquisition,PS4,7.4,2014-11-18,Role-Playing,Sony
376,8.9,Dead Space,X360,8.7,2008-10-13,Shooter,Microsoft
377,8.9,Left 4 Dead,X360,7.9,2008-11-17,Shooter,Microsoft
378,8.9,Fable II,X360,6.6,2008-10-21,Role-Playing,Microsoft
379,8.9,Tiger Woods PGA Tour 2004,GC,8.4,2003-09-22,Sports,Nintendo
380,8.9,NCAA Football 2004,GC,8.1,2003-07-16,Sports,Nintendo
381,8.9,Castlevania: Symphony of the Night,X360,8.7,2007-03-21,Platform,Microsoft
382,8.9,Ratchet & Clank Future: Tools of Destruction,PS3,8.8,2007-10-23,Platform,Sony
383,8.9,Virtua Fighter 5 Online,X360,7.6,2007-10-30,Fighting,Microsoft
384,8.9,Rez HD,X360,8.0,2008-01-30,Shooter,Microsoft
385,8.9,MVP Baseball 2004,GC,8.5,2004-03-09,Sports,Nintendo
386,8.9,Metroid: Zero Mission,GBA,8.9,2004-02-09,Action-Adventure,Nintendo
387,8.9,NCAA Football 2005,XBOX,7.8,2004-07-15,Sports,Microsoft
388,8.9,The Chronicles of Riddick: Escape From Butcher Bay,XBOX,8.9,2004-06-01,Shooter,Microsoft
389,8.9,Battlefield 1,PS4,8.0,2016-10-18,Shooter,Sony
390,8.9,Injustice 2,XONE,8.2,2017-05-16,Fighting,Microsoft
391,8.9,Tiger Woods PGA Tour 2004,PS2,8.8,2003-09-22,Sports,Sony
392,8.9,WWF No Mercy,N64,8.8,2000-11-17,Fighting,Nintendo
393,8.9,Tiger Woods PGA Tour 2004,XBOX,8.2,2003-09-22,Sports,Microsoft
394,8.9,New Super Mario Bros.,DS,8.5,2006-05-15,Platform,Nintendo
395,8.9,Dead Space 2,PS3,8.4,2011-01-25,Shooter,Sony
396,8.9,Metal Gear Solid HD Collection,PS3,8.9,2011-11-08,Action-Adventure,Sony
397,8.9,L.A. Noire,X360,7.9,2011-05-17,Action-Adventure,Microsoft
398,8.9,ESPN NBA Basketball,PS2,8.4,2003-10-21,Sports,Sony
399,8.9,Top Spin,XBOX,8.2,2003-10-28,Sports,Microsoft
400,8.9,Dark Souls,X360,8.7,2011-10-04,Role-Playing,Microsoft
401,8.9,World Soccer Winning Eleven 9,XBOX,7.9,2006-02-07,Sports,Microsoft
402,8.9,Dark Souls,PS3,8.9,2011-10-04,Role-Playing,Sony
403,8.9,Advance Wars 2: Black Hole Rising,GBA,9.1,2003-06-24,Strategy,Nintendo
404,8.9,Burnout Revenge,X360,8.2,2006-03-07,Racing,Microsoft
405,8.9,XCOM: Enemy Unknown,PS3,8.2,2012-10-09,Strategy,Sony
406,8.9,Burnout Revenge,XBOX,8.4,2005-09-13,Racing,Microsoft
407,8.9,Deus Ex: Human Revolution,PS3,8.2,2011-08-23,Shooter,Sony
408,8.9,L.A. Noire,PS3,7.8,2011-05-17,Action-Adventure,Sony
409,8.9,Burnout 2: Point of Impact,GC,8.7,2003-04-09,Racing,Nintendo
410,8.9,F-Zero GX,GC,8.6,2003-08-26,Racing,Nintendo
411,8.9,Tom Clancy's Splinter Cell,PS2,7.8,2003-04-08,Action-Adventure,Sony
412,8.9,Tom Clancy's Splinter Cell,GC,8.6,2003-04-10,Action-Adventure,Nintendo
413,8.9,Plants vs. Zombies,X360,8.2,2010-09-08,Strategy,Microsoft
414,8.9,Axiom Verge,WIIU,8.6,2016-09-01,Action-Adventure,Nintendo
415,8.9,World Series Baseball 2K3,XBOX,8.6,2003-03-10,Sports,Microsoft
416,8.9,Deus Ex: Human Revolution,X360,8.3,2011-08-23,Shooter,Microsoft
417,8.9,Final Fantasy XIV: Stormblood,PS4,8.5,2017-06-20,MMO,Sony
418,8.8,FIFA 14,XONE,5.8,2013-11-19,Sports,Microsoft
419,8.8,NHL 2001,PS,8.0,2000-09-26,Sports,Sony
420,8.8,Tekken 5,PS2,8.7,2005-02-24,Fighting,Sony
421,8.8,Psychonauts,XBOX,8.8,2005-04-19,Platform,Microsoft
422,8.8,Meteos,DS,7.6,2005-06-28,Puzzle,Nintendo
423,8.8,Fight Night Round 2,XBOX,8.8,2005-02-28,Fighting,Microsoft
424,8.8,Art of Balance,WII,8.2,2010-02-15,Puzzle,Nintendo
425,8.8,Fight Night Round 2,PS2,8.8,2005-02-28,Fighting,Sony
426,8.8,Excitebike 64,N64,8.0,2000-04-30,Racing,Nintendo
427,8.8,Fire Emblem,GBA,9.1,2003-11-03,Strategy,Nintendo
428,8.8,Battlefield: Bad Company 2 Vietnam,X360,7.7,2010-12-21,Shooter,Microsoft
429,8.8,Battlefield: Bad Company 2 Vietnam,PS3,7.5,2010-12-21,Shooter,Sony
430,8.8,The Banner Saga 3,XONE,7.8,2018-07-26,Strategy,Microsoft
431,8.8,Okami HD,XONE,8.3,2017-12-12,Action-Adventure,Microsoft
432,8.8,Ridge Racer,PSP,8.2,2005-03-22,Racing,Sony
433,8.8,Need for Speed: Hot Pursuit,X360,7.1,2010-11-16,Racing,Microsoft
434,8.8,FIFA Soccer 11,X360,7.5,2010-09-28,Sports,Microsoft
435,8.8,MVP Baseball 2005,GC,8.7,2005-02-22,Sports,Nintendo
436,8.8,Spelunky,VITA,7.9,2013-08-27,Platform,Sony
437,8.8,NHL 11,PS3,7.2,2010-09-07,Sports,Sony
438,8.8,Assassin's Creed IV: Black Flag,PS3,8.2,2013-10-29,Action-Adventure,Sony
439,8.8,NHL 11,X360,7.7,2010-09-07,Sports,Microsoft
440,8.8,Oddworld: Stranger's Wrath,XBOX,8.9,2005-01-25,Action-Adventure,Microsoft
441,8.8,Doom 3,XBOX,7.5,2005-04-03,Shooter,Microsoft
442,8.8,BioShock 2,X360,8.2,2010-02-09,Shooter,Microsoft
443,8.8,BioShock 2,PS3,8.2,2010-02-09,Shooter,Sony
444,8.8,Battlefield: Bad Company 2,PS3,8.6,2010-03-02,Shooter,Sony
445,8.8,Battlefield: Bad Company 2,X360,8.6,2010-03-02,Shooter,Microsoft
446,8.8,Call of Duty: Black Ops,PS3,6.5,2010-11-09,Shooter,Sony
447,8.8,Grand Theft Auto: Liberty City Stories,PSP,7.7,2005-10-24,Action-Adventure,Sony
448,8.8,WarioWare: Twisted!,GBA,8.9,2005-05-23,Puzzle,Nintendo
449,8.8,Ultimate Fighting Championship,DC,7.8,2000-08-29,Fighting,Sega
450,8.8,NCAA Football 2005,GC,7.8,2004-07-15,Sports,Nintendo
451,8.8,Dead Cells,PS4,7.5,2018-08-07,Action-Adventure,Sony
452,8.8,Burnout 2: Point of Impact,XBOX,5.6,2003-05-01,Racing,Microsoft
453,8.8,NCAA Football 2004,XBOX,8.7,2003-07-16,Sports,Microsoft
454,8.8,Madden NFL 2002,PS,8.0,2001-08-13,Sports,Sony
455,8.8,Shovel Knight,WIIU,8.4,2014-06-26,Platform,Nintendo
456,8.8,Mario Kart 8,WIIU,8.9,2014-05-30,Racing,Nintendo
457,8.8,The Binding of Isaac: Rebirth,PS4,7.8,2014-11-04,Action-Adventure,Sony
458,8.8,SSX Tricky,XBOX,8.7,2001-12-10,Sports,Microsoft
459,8.8,The Last of Us: Left Behind,PS3,8.2,2014-02-14,Action-Adventure,Sony
460,8.8,NBA Street Vol. 2,GC,8.0,2003-04-28,Sports,Nintendo
461,8.8,ESPN NHL Hockey,XBOX,8.4,2003-09-09,Sports,Microsoft
462,8.8,Tekken: Dark Resurrection,PSP,8.5,2006-07-25,Fighting,Sony
463,8.8,Madden NFL 06,PS2,8.0,2005-08-08,Sports,Sony
464,8.8,NCAA Football 07,XBOX,6.9,2006-07-18,Sports,Microsoft
465,8.8,Tom Clancy's Rainbow Six Vegas,X360,8.3,2006-11-20,Shooter,Microsoft
466,8.8,Ikaruga,Switch,7.8,2018-05-29,Shooter,Nintendo
467,8.8,NBA Street,GC,8.6,2002-02-17,Sports,Nintendo
468,8.8,Shenmue II,DC,9.1,2001-11-23,Action-Adventure,Sega
469,8.8,Red Faction,PS2,8.1,2001-05-21,Shooter,Sony
470,8.8,Wario Land 4,GBA,8.6,2001-11-18,Platform,Nintendo
471,8.8,NASCAR Thunder 2004,PS2,8.5,2003-09-16,Racing,Sony
472,8.8,Crimson Skies: High Road to Revenge,XBOX,8.8,2003-10-21,Simulation,Microsoft
473,8.8,Uncharted: Drake's Fortune,PS3,8.0,2007-11-16,Action-Adventure,Sony
474,8.8,Fight Night Round 4,PS3,7.6,2009-06-23,Fighting,Sony
475,8.8,The Secret of Monkey Island: Special Edition,X360,8.8,2009-07-15,Action-Adventure,Microsoft
476,8.8,Ninja Gaiden Sigma,PS3,7.5,2007-07-03,Action-Adventure,Sony
477,8.8,Wipeout Pure,PSP,8.0,2005-03-16,Racing,Sony
478,8.8,XCOM: Enemy Within,X360,7.6,2013-11-12,Action-Adventure,Microsoft
479,8.8,Animal Crossing: New Leaf,3DS,8.7,2013-06-09,Simulation,Nintendo
480,8.8,NHL 09,PS3,7.7,2008-09-09,Sports,Sony
481,8.8,NHL 09,X360,8.3,2008-09-09,Sports,Microsoft
482,8.8,Burnout Paradise,X360,7.0,2008-01-22,Racing,Microsoft
483,8.8,Dead Space,PS3,8.8,2008-10-13,Shooter,Sony
484,8.8,NBA Street V3,GC,8.4,2005-02-08,Sports,Nintendo
485,8.8,NCAA Football 2005,PS2,8.8,2004-07-15,Sports,Sony
486,8.8,The Elder Scrolls III: Morrowind Game of the Year Edition,XBOX,8.7,2003-10-31,Role-Playing,Microsoft
487,8.8,Tiger Woods PGA Tour 2005,PS2,8.2,2004-09-20,Sports,Sony
488,8.8,Tiger Woods PGA Tour 2005,XBOX,8.9,2004-09-20,Sports,Microsoft
489,8.8,Tiger Woods PGA Tour 2005,GC,0.0,2004-09-20,Sports,Nintendo
490,8.8,Sly 2: Band of Thieves,PS2,9.0,2004-09-14,Platform,Sony
491,8.8,Shadow Complex,X360,8.7,2009-08-19,Shooter,Microsoft
492,8.8,NHL 10,X360,8.4,2009-09-15,Sports,Microsoft
493,8.8,NHL 10,PS3,7.9,2009-09-15,Sports,Sony
494,8.8,ESPN NHL 2K5,XBOX,8.5,2004-08-30,Sports,Microsoft
495,8.8,Final Fantasy Tactics: The War of the Lions,PSP,8.9,2007-10-09,Role-Playing,Sony
496,8.8,Hyper Light Drifter,Switch,8.0,2018-09-06,Role-Playing,Nintendo
497,8.8,NBA 2K17,PS4,6.3,2016-09-16,Sports,Sony
498,8.8,Tiger Woods PGA Tour 10,WII,8.8,2009-06-08,Sports,Nintendo
499,8.8,JSRF: Jet Set Radio Future,XBOX,8.3,2002-02-25,Action-Adventure,Microsoft
500,8.8,N++,XONE,5.2,2017-10-04,Platform,Microsoft
501,8.8,Wolfenstein II: The New Colossus,XONE,6.2,2017-10-27,Shooter,Microsoft
502,8.8,NieR: Automata,PS4,8.9,2017-03-07,Role-Playing,Sony
503,8.8,Hellblade: Senua's Sacrifice,XONE,7.2,2018-04-11,Action-Adventure,Microsoft
504,8.8,TimeSplitters 2,XBOX,7.8,2002-10-17,Shooter,Microsoft
505,8.8,LittleBigPlanet PS Vita,VITA,8.6,2012-09-18,Platform,Sony
506,8.8,The Witcher 2: Assassins of Kings,X360,8.3,2012-04-17,Role-Playing,Microsoft
507,8.8,Ratchet & Clank,PS2,8.9,2002-11-04,Platform,Sony
508,8.8,SteamWorld Dig 2,Switch,8.6,2017-09-21,Platform,Nintendo
509,8.8,Nioh,PS4,8.6,2017-02-07,Action-Adventure,Sony
510,8.8,Rayman Origins,VITA,8.4,2012-02-15,Platform,Sony
511,8.8,Aggressive Inline,GC,7.6,2002-07-31,Sports,Nintendo
512,8.8,FIFA Soccer 2003,PS2,6.5,2002-11-14,Sports,Sony
513,8.8,What Remains of Edith Finch,PS4,8.1,2017-04-25,Action-Adventure,Sony
514,8.8,FIFA Soccer 2003,XBOX,7.7,2002-11-12,Sports,Microsoft
515,8.8,Tactics Ogre: The Knight of Lodis,GBA,8.9,2002-05-11,Role-Playing,Nintendo
516,8.8,Zero Escape: Virtue's Last Reward,3DS,8.8,2012-10-23,Visual Novel,Nintendo
517,8.8,The Talos Principle,PS4,8.2,2015-10-13,Puzzle,Sony
518,8.8,Ori and the Blind Forest,XONE,8.6,2015-03-11,Platform,Microsoft
519,8.8,Super Mario Maker,WIIU,8.8,2015-09-11,Platform,Nintendo
520,8.8,Fallout 4,XONE,6.4,2015-11-10,Role-Playing,Microsoft
521,8.8,FIFA Soccer 13,PS3,6.6,2012-09-25,Sports,Sony
522,8.8,NBA 2K13,X360,7.3,2012-10-02,Sports,Microsoft
523,8.8,Dishonored,X360,7.9,2012-10-09,Shooter,Microsoft
524,8.8,Tiger Woods PGA Tour 2003,PS2,8.9,2002-10-27,Sports,Sony
525,8.8,Tiger Woods PGA Tour 2003,XBOX,8.5,2002-10-27,Sports,Microsoft
526,8.8,Joe Danger: Special Edition,X360,7.7,2011-12-14,Racing,Microsoft
527,8.8,TimeSplitters 2,GC,8.7,2002-10-16,Shooter,Nintendo
528,8.8,Dishonored 2,PS4,7.9,2016-11-10,Action-Adventure,Sony
529,8.8,Call of Duty: Modern Warfare 3,X360,3.4,2011-11-08,Shooter,Microsoft
530,8.8,Dishonored 2,XONE,7.2,2016-11-10,Action-Adventure,Microsoft
531,8.8,Call of Duty: Modern Warfare 3,PS3,3.2,2011-11-08,Shooter,Sony
532,8.8,Ori and the Blind Forest: Definitive Edition,XONE,7.6,2016-03-11,Platform,Microsoft
533,8.7,SOCOM II: U.S. Navy SEALs,PS2,8.7,2003-11-04,Shooter,Sony
534,8.7,NBA 2K16,PS4,6.7,2015-09-25,Sports,Sony
535,8.7,Animal Crossing,GC,8.8,2002-09-15,Simulation,Nintendo
536,8.7,Velocity 2X,Switch,6.8,2018-09-20,Action-Adventure,Nintendo
537,8.7,Tony Hawk's Pro Skater 3,PS,8.1,2001-10-29,Sports,Sony
538,8.7,Pro Evolution Soccer 2016,PS4,7.2,2015-09-15,Sports,Sony
539,8.7,Halo 4,X360,7.0,2012-11-06,Shooter,Microsoft
540,8.7,La-Mulana,WII,8.2,2012-09-20,Platform,Nintendo
541,8.7,Max Payne 3,PS3,7.8,2012-05-15,Shooter,Sony
542,8.7,Jak II,PS2,8.3,2003-10-14,Platform,Sony
543,8.7,Assassin's Creed Odyssey,XONE,5.2,2018-10-02,Action-Adventure,Microsoft
544,8.7,Street Fighter V: Arcade Edition,PS4,7.0,2018-01-16,Fighting,Sony
545,8.7,Spelunky,X360,7.3,2012-07-04,Platform,Microsoft
546,8.7,Final Fantasy Tactics Advance,GBA,9.2,2003-09-08,Action-Adventure,Nintendo
547,8.7,Batman: Arkham Knight,PS4,7.8,2015-06-23,Action-Adventure,Sony
548,8.7,Pro Evolution Soccer 2017,XONE,6.0,2016-09-13,Sports,Microsoft
549,8.7,Sonic Advance,GBA,8.1,2002-02-03,Platform,Nintendo
550,8.7,Beyond Good & Evil,GC,8.4,2003-12-11,Action-Adventure,Nintendo
551,8.7,Dragon Ball FighterZ,PS4,8.1,2018-01-26,Fighting,Sony
552,8.7,Dragon Ball FighterZ,Switch,8.8,2018-09-28,Fighting,Nintendo
553,8.7,SteamWorld Heist,WIIU,7.9,2016-10-20,Strategy,Nintendo
554,8.7,Beyond Good & Evil,XBOX,8.3,2003-12-02,Action-Adventure,Microsoft
555,8.7,Rocket League,XONE,8.3,2016-02-17,Sports,Microsoft
556,8.7,Guacamelee!,VITA,8.3,2013-04-09,Action-Adventure,Sony
557,8.7,Ikaruga,X360,7.8,2008-04-09,Shooter,Microsoft
558,8.7,NCAA Football 07,PS2,8.7,2006-07-18,Sports,Sony
559,8.7,Owlboy,Switch,7.5,2018-02-13,Platform,Nintendo
560,8.7,Wolfenstein II: The New Colossus,PS4,7.5,2017-10-27,Shooter,Sony
561,8.7,Half-Life,PS2,8.5,2001-11-11,Shooter,Sony
562,8.7,Resistance 2,PS3,6.1,2008-11-04,Shooter,Sony
563,8.7,Castlevania: Harmony of Dissonance,GBA,7.9,2002-09-16,Platform,Nintendo
564,8.7,MechAssault,XBOX,8.2,2002-11-11,Simulation,Microsoft
565,8.7,Enter the Gungeon,Switch,8.0,2017-12-14,Shooter,Nintendo
566,8.7,World Series Baseball 2K3,PS2,8.7,2003-03-17,Sports,Sony
567,8.7,Midnight Club 3: DUB Edition Remix,XBOX,5.5,2006-03-13,Racing,Microsoft
568,8.7,Syphon Filter: Dark Mirror,PSP,8.9,2006-03-14,Shooter,Sony
569,8.7,Bully,PS2,9.0,2006-10-17,Action-Adventure,Sony
570,8.7,Metal Gear Solid: Portable Ops,PSP,8.2,2006-12-05,Action-Adventure,Sony
571,8.7,Kingdom Hearts II,PS2,9.1,2006-03-28,Role-Playing,Sony
572,8.7,Ratchet & Clank Future: A Crack in Time,PS3,8.9,2009-10-27,Platform,Sony
573,8.7,PixelJunk Shooter,PS3,8.3,2009-12-10,Shooter,Sony
574,8.7,Power Stone 2,DC,8.9,2000-08-23,Fighting,Sega
575,8.7,LittleBigPlanet,PSP,7.8,2009-11-17,Platform,Sony
576,8.7,Little King's Story,WII,8.6,2009-07-21,Strategy,Nintendo
577,8.7,Dragon Age: Origins,PS3,8.0,2009-11-03,Role-Playing,Sony
578,8.7,Rayman Origins,X360,8.2,2011-11-15,Platform,Microsoft
579,8.7,Spider-Man,PS,8.8,2000-08-30,Action-Adventure,Sony
580,8.7,DiRT 2,X360,8.2,2009-09-08,Racing,Microsoft
581,8.7,Zack & Wiki: Quest for Barbaros' Treasure,WII,8.6,2007-10-23,Action-Adventure,Nintendo
582,8.7,DiRT 2,PS3,8.2,2009-09-08,Racing,Sony
583,8.7,The Legend of Zelda: Spirit Tracks,DS,7.9,2009-12-07,Action-Adventure,Nintendo
584,8.7,New Super Mario Bros. Wii,WII,8.4,2009-11-15,Platform,Nintendo
585,8.7,Critter Crunch,PS3,7.5,2009-10-08,Puzzle,Sony
586,8.7,Super Monkey Ball 2,GC,8.4,2002-08-25,Puzzle,Nintendo
587,8.7,BlazBlue: Calamity Trigger,PS3,8.5,2009-06-30,Fighting,Sony
588,8.7,Fight Night Round 4,X360,8.1,2009-06-23,Fighting,Microsoft
589,8.7,Destiny 2,XONE,4.3,2017-09-06,Shooter,Microsoft
590,8.7,The Elder Scrolls III: Morrowind,XBOX,8.5,2002-06-06,Role-Playing,Microsoft
591,8.7,Iconoclasts,Switch,8.2,2018-08-02,Action-Adventure,Nintendo
592,8.7,Marvel's Spider-Man,PS4,8.8,2018-09-07,Action-Adventure,Sony
593,8.7,FIFA 14,PS4,6.3,2013-11-12,Sports,Sony
594,8.7,TowerFall Ascension,PS4,7.0,2014-03-11,Platform,Sony
595,8.7,ESPN NBA Basketball,XBOX,8.2,2003-10-22,Sports,Microsoft
596,8.7,Jeanne d'Arc,PSP,8.3,2007-08-21,Role-Playing,Sony
597,8.7,Forza Motorsport 6,XONE,7.7,2015-09-15,Racing,Microsoft
598,8.7,Disgaea: Afternoon of Darkness,PSP,8.2,2007-10-30,Role-Playing,Sony
599,8.7,XCOM 2,XONE,7.6,2016-09-27,Strategy,Microsoft
600,8.7,Call of Duty: Black Ops,X360,6.4,2010-11-09,Shooter,Microsoft
601,8.7,Injustice 2,PS4,8.1,2017-05-16,Fighting,Sony
602,8.7,flower,PS3,8.6,2009-02-12,Action-Adventure,Sony
603,8.7,Tactics Ogre: Let Us Cling Together,PSP,8.8,2011-02-14,Role-Playing,Sony
604,8.7,DiRT 3,X360,7.0,2011-05-24,Racing,Microsoft
605,8.7,Puzzle Quest: Challenge of the Warlords,X360,8.3,2007-10-10,Puzzle,Microsoft
606,8.7,DiRT 3,PS3,7.0,2011-05-24,Racing,Sony
607,8.7,Titanfall 2,XONE,8.3,2016-10-28,Shooter,Microsoft
608,8.7,Bayonetta,PS3,7.7,2010-01-05,Action-Adventure,Sony
609,8.7,GRID,X360,7.9,2008-06-03,Racing,Microsoft
610,8.7,The Witness,PS4,7.1,2016-01-26,Puzzle,Sony
611,8.7,GRID,PS3,8.1,2008-06-03,Racing,Sony
612,8.7,Dark Cloud 2,PS2,9.1,2003-02-17,Role-Playing,Sony
613,8.7,XCOM 2,PS4,7.3,2016-09-27,Strategy,Sony
614,8.7,Dark Souls III,XONE,8.7,2016-04-12,Role-Playing,Microsoft
615,8.7,Burnout Paradise,PS3,7.7,2008-01-22,Racing,Sony
616,8.7,Tearaway,VITA,8.9,2013-11-22,Platform,Sony
617,8.7,NFL 2K2,XBOX,0.0,2002-01-09,Sports,Microsoft
618,8.7,Axiom Verge,Switch,8.4,2017-10-05,Action-Adventure,Nintendo
619,8.7,NBA 2K14,X360,4.9,2013-10-01,Sports,Microsoft
620,8.7,Pikmin 3,WIIU,8.7,2013-08-04,Strategy,Nintendo
621,8.7,MVP Baseball 2005,PS2,8.6,2005-02-22,Sports,Sony
622,8.7,MotoGP 2,XBOX,8.5,2003-05-21,Racing,Microsoft
623,8.7,Rayman Legends,VITA,8.4,2013-09-03,Platform,Sony
624,8.7,Diablo III,X360,6.7,2013-09-03,Role-Playing,Microsoft
625,8.7,NCAA Football 06,PS2,8.5,2005-07-11,Sports,Sony
626,8.7,NCAA Football 06,XBOX,8.2,2005-07-11,Sports,Microsoft
627,8.7,Hotline Miami,PS3,8.3,2013-06-25,Action-Adventure,Sony
628,8.7,MLB 13: The Show,PS3,7.9,2013-03-05,Sports,Sony
629,8.7,NBA 2K3,XBOX,7.9,2002-10-09,Sports,Microsoft
630,8.7,Velocity,PSP,7.6,2012-05-01,Puzzle,Sony
631,8.7,FIFA Soccer 09,PS3,7.5,2008-10-13,Sports,Sony
632,8.7,Rayman Origins,PS3,8.4,2011-11-15,Platform,Sony
633,8.7,Metal Gear Solid 2: Substance,XBOX,8.0,2002-11-04,Action-Adventure,Microsoft
634,8.7,Baldur's Gate: Dark Alliance,PS2,8.3,2001-12-02,Role-Playing,Sony
635,8.7,Metal Gear Solid 2: Substance,PS2,8.9,2003-03-03,Action-Adventure,Sony
636,8.7,Stardew Valley,Switch,8.7,2017-10-05,Simulation,Nintendo
637,8.7,Mario Kart: Double Dash!!,GC,8.6,2003-11-17,Racing,Nintendo
638,8.7,Fallout 4,PS4,6.6,2015-11-10,Role-Playing,Sony
639,8.7,Paper Mario: The Thousand-Year Door,GC,9.1,2004-10-11,Role-Playing,Nintendo
640,8.7,Tomb Raider,PS3,8.4,2013-03-05,Action-Adventure,Sony
641,8.7,Battlefield 1,XONE,7.7,2016-10-18,Shooter,Microsoft
642,8.7,Dead or Alive 3,XBOX,8.5,2001-11-14,Fighting,Microsoft
643,8.7,Bangai-O,DC,8.1,2001-03-21,Shooter,Sega
644,8.7,Super Monkey Ball,GC,8.1,2001-11-17,Puzzle,Nintendo
645,8.7,Bionic Commando Rearmed,PS3,8.0,2008-08-14,Platform,Sony
646,8.7,SSX Tricky,GC,8.5,2001-12-02,Sports,Nintendo
647,8.7,Okami HD,PS4,8.1,2017-12-12,Action-Adventure,Sony
648,8.7,Guilty Gear X2,PS2,8.7,2003-02-03,Fighting,Sony
649,8.7,BlazBlue: Continuum Shift,PS3,8.1,2010-07-27,Fighting,Sony
650,8.7,Donkey Kong Country Returns,WII,8.7,2010-11-21,Platform,Nintendo
651,8.7,Mass Effect 2: Lair of the Shadow Broker,X360,8.5,2010-09-07,Role-Playing,Microsoft
652,8.7,Dark Souls II: Scholar of the First Sin,PS4,8.0,2015-04-07,Role-Playing,Sony
653,8.7,Heavy Rain,PS3,7.7,2010-02-23,Action-Adventure,Sony
